2020.iwpt	2020	@	Proceedings of the 16th International Conference on Parsing Technologies and the IWPT 2020 Shared Task on Parsing into Enhanced Universal Dependencies
2020.iwslt	2020	@	Proceedings of the 17th International Conference on Spoken Language Translation
2020.jeptalnrecital	2020	Nancy, France	Actes de la 6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). Volume 1 : Journées d'Études sur la Parole
2020.knlp	2020	@	Proceedings of Knowledgeable NLP: the First Workshop on Integrating Structured Knowledge and Neural Networks for NLP
2020.lantern	2020	@	Proceedings of the Second Workshop on Beyond Vision and LANguage: inTEgrating Real-world kNowledge (LANTERN)
2020.latechclfl	2020	@	Proceedings of the The 4th Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature
2020.law	2020	@	Proceedings of the 14th Linguistic Annotation Workshop
2020.ldl	2020	@	Proceedings of the 7th Workshop on Linked Data in Linguistics (LDL-2020)
2020.lifelongnlp	2020	@	Proceedings of the 2nd Workshop on Life-long Learning for Spoken Language Systems
2020.lincr	2020	@	Proceedings of the Second Workshop on Linguistic and Neurocognitive Resources
2020.loresmt	2020	@	Proceedings of the 3rd Workshop on Technologies for MT of Low Resource Languages
2020.louhi	2020	@	Proceedings of the 11th International Workshop on Health Text Mining and Information Analysis
2020.lr4sshoc	2020	@	Proceedings of the Workshop about Language Resources for the SSH Cloud
2020.lrec	2020	@	Proceedings of the 12th Language Resources and Evaluation Conference
2020.lt4gov	2020	@	Proceedings of the 1st Workshop on Language Technologies for Government and Public Administration (LT4Gov)
2020.lt4hala	2020	@	Proceedings of LT4HALA 2020 - 1st Workshop on Language Technologies for Historical and Ancient Languages
2020.mmw	2020	@	Proceedings of the LREC 2020 Workshop on Multimodal Wordnets (MMW2020)
2020.msr	2020	@	Proceedings of the Third Workshop on Multilingual Surface Realisation
2020.multilingualbio	2020	@	Proceedings of the LREC 2020 Workshop on Multilingual Biomedical Text Processing (MultilingualBIO 2020)
2020.mwe	2020	@	Proceedings of the Joint Workshop on Multiword Expressions and Electronic Lexicons
2020.ngt	2020	@	Proceedings of the Fourth Workshop on Neural Generation and Translation
2020.nl4xai	2020	Dublin, Ireland	2nd Workshop on Interactive Natural Language Technology for Explainable Artificial Intelligence
2020.nli	2020	@	Proceedings of the First Workshop on Natural Language Interfaces
2020.nlp4call	2020	Gothenburg, Sweden	Proceedings of the 9th Workshop on NLP for Computer Assisted Language Learning
2020.nlp4convai	2020	@	Proceedings of the 2nd Workshop on Natural Language Processing for Conversational AI
2020.nlp4if	2020	@	Proceedings of the 3rd NLP4IF Workshop on NLP for Internet Freedom: Censorship, Disinformation, and Propaganda
2020.nlp4musa	2020	@	Proceedings of the 1st Workshop on NLP for Music and Audio (NLP4MusA)
2020.nlpbt	2020	@	Proceedings of the First International Workshop on Natural Language Processing Beyond Text
2020.nlpcovid19	2020	@	Proceedings of the 1st Workshop on NLP for COVID-19 at ACL 2020
2020.nlpcss	2020	@	Proceedings of the Fourth Workshop on Natural Language Processing and Computational Social Science
