2019.lilt.18	Linguistic Issues in Language Technology, Volume 18, 2019 - Exploiting Parsed Corpora: Applications in Research, Pedagogy, and Processing	2019	@
2019.nsurl.1	Proceedings of The First International Workshop on NLP Solutions for Under Resourced Languages (NSURL 2019) co-located with ICNLSP 2019 - Short Papers	2019	Trento, Italy
2020.aacl.demo	Proceedings of the 1st Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 10th International Joint Conference on Natural Language Processing: System Demonstrations	2020	@
2020.aacl.main	Proceedings of the 1st Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 10th International Joint Conference on Natural Language Processing	2020	@
2020.aacl.srw	Proceedings of the 1st Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 10th International Joint Conference on Natural Language Processing: Student Research Workshop	2020	@
2020.acl.demos	Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: System Demonstrations	2020	@
2020.acl.main	Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics	2020	@
2020.acl.srw	Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: Student Research Workshop	2020	@
2020.acl.tutorials	Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: Tutorial Abstracts	2020	@
2020.aespen.1	Proceedings of the Workshop on Automated Extraction of Socio-political Events from News 2020	2020	@
2020.ai4hi.1	Proceedings of the 1st International Workshop on Artificial Intelligence for Historical Image Enrichment and Access	2020	@
2020.alvr.1	Proceedings of the First Workshop on Advances in Language and Vision Research	2020	@
2020.alw.1	Proceedings of the Fourth Workshop on Online Abuse and Harms	2020	@
2020.amta.impact	Workshop on the Impact of Machine Translation (iMpacT 2020)	2020	@
2020.amta.pemdt	Proceedings of 1st Workshop on Post-Editing in Modern-Day Translation	2020	@
2020.amta.research	Proceedings of the 14th Conference of the Association for Machine Translation in the Americas (Volume 1: Research Track)	2020	@
2020.amta.user	Proceedings of the 14th Conference of the Association for Machine Translation in the Americas (Volume 2: User Track)	2020	@
2020.argmining.1	Proceedings of the 7th Workshop on Argument Mining	2020	@
2020.autosimtrans.1	Proceedings of the First Workshop on Automatic Simultaneous Translation	2020	@
2020.bea.1	Proceedings of the Fifteenth Workshop on Innovative Use of NLP for Building Educational Applications	2020	@
2020.bionlp.1	Proceedings of the 19th SIGBioMed Workshop on Biomedical Language Processing	2020	@
2020.blackboxnlp.1	Proceedings of the Third BlackboxNLP Workshop on Analyzing and Interpreting Neural Networks for NLP	2020	@
2020.bucc.1	Proceedings of the 13th Workshop on Building and Using Comparable Corpora	2020	@
2020.calcs.1	Proceedings of the The 4th Workshop on Computational Approaches to Code Switching	2020	@
2020.ccl.1	Proceedings of the 19th Chinese National Conference on Computational Linguistics	2020	@
2020.challengehml.1	Second Grand-Challenge and Workshop on Multimodal Language (Challenge-HML)	2020	@
2020.cl.1	Computational Linguistics, Volume 46, Issue 1 - March 2020	2020	@
2020.cl.2	Computational Linguistics, Volume 46, Issue 2 - June 2020	2020	@
2020.cl.3	Computational Linguistics, Volume 46, Issue 3 - September 2020	2020	@
2020.clinicalnlp.1	Proceedings of the 3rd Clinical Natural Language Processing Workshop	2020	@
2020.cllrd.1	Proceedings of the LREC 2020 Workshop on "Citizen Linguistics in Language Resource Development"	2020	@
2020.clssts.1	Proceedings of the workshop on Cross-Language Search and Summarization of Text and Speech (CLSSTS2020)	2020	@
2020.cmcl.1	Proceedings of the Workshop on Cognitive Modeling and Computational Linguistics	2020	@
2020.cmlc.1	Proceedings of the 8th Workshop on Challenges in the Management of Large Corpora	2020	@
2020.codi.1	Proceedings of the First Workshop on Computational Approaches to Discourse	2020	@
2020.cogalex.1	Proceedings of the Workshop on the Cognitive Aspects of the Lexicon	2020	@
2020.coling.demos	Proceedings of the 28th International Conference on Computational Linguistics: System Demonstrations	2020	@
2020.coling.industry	Proceedings of the 28th International Conference on Computational Linguistics: Industry Track	2020	@
2020.coling.main	Proceedings of the 28th International Conference on Computational Linguistics	2020	@
2020.coling.tutorials	Proceedings of the 28th International Conference on Computational Linguistics: Tutorial Abstracts	2020	@
2020.computerm.1	Proceedings of the 6th International Workshop on Computational Terminology	2020	@
2020.conll.1	Proceedings of the 24th Conference on Computational Natural Language Learning	2020	@
2020.conll.shared	Proceedings of the CoNLL 2020 Shared Task: Cross-Framework Meaning Representation Parsing	2020	@
2020.crac.1	Proceedings of the Third Workshop on Computational Models of Reference, Anaphora and Coreference	2020	@
2020.deelio.1	Proceedings of Deep Learning Inside Out (DeeLIO): The First Workshop on Knowledge Extraction and Integration for Deep Learning Architectures	2020	@
2020.dmr.1	Proceedings of the Second International Workshop on Designing Meaning Representations	2020	@
2020.eamt.1	Proceedings of the 22nd Annual Conference of the European Association for Machine Translation	2020	@
2020.ecnlp.1	Proceedings of The 3rd Workshop on e-Commerce and NLP	2020	@
2020.ecomnlp.1	Proceedings of Workshop on Natural Language Processing in E-Commerce	2020	@
2020.emnlp.demos	Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing: System Demonstrations	2020	@
2020.emnlp.main	Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)	2020	@
2020.emnlp.tutorials	Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing: Tutorial Abstracts	2020	@
2020.eval4nlp.1	Proceedings of the First Workshop on Evaluation and Comparison of NLP Systems	2020	@
2020.evalnlgeval.1	Proceedings of the 1st Workshop on Evaluating NLG Evaluation	2020	@
2020.fever.1	Proceedings of the Third Workshop on Fact Extraction and VERification (FEVER)	2020	@
2020.figlang.1	Proceedings of the Second Workshop on Figurative Language Processing	2020	@
2020.findings.emnlp	Findings of the Association for Computational Linguistics: EMNLP 2020	2020	@
2020.finnlp.1	Proceedings of the Second Workshop on Financial Technology and Natural Language Processing	2020	@
2020.fnp.1	Proceedings of the 1st Joint Workshop on Financial Narrative Processing and MultiLing Financial Summarisation	2020	@
2020.framenet.1	Proceedings of the International FrameNet Workshop 2020: Towards a Global, Multilingual FrameNet	2020	@
2020.gamnlp.1	Workshop on Games and Natural Language Processing	2020	@
2020.gebnlp.1	Proceedings of the Second Workshop on Gender Bias in Natural Language Processing	2020	@
2020.globalex.1	Proceedings of the 2020 Globalex Workshop on Linked Lexicography	2020	@
2020.inlg.1	Proceedings of the 13th International Conference on Natural Language Generation	2020	@
2020.insights.1	Proceedings of the First Workshop on Insights from Negative Results in NLP	2020	@
2020.intexsempar.1	Proceedings of the First Workshop on Interactive and Executable Semantic Parsing	2020	@
2020.isa.1	16th Joint ACL - ISO Workshop on Interoperable Semantic Annotation PROCEEDINGS	2020	@
2020.iwclul.1	Proceedings of the Sixth International Workshop on Computational Linguistics of Uralic Languages	2020	Wien, Austria
2020.iwdp.1	Proceedings of the Second International Workshop of Discourse Processing	2020	Suzhou, China
2020.iwltp.1	Proceedings of the 1st International Workshop on Language Technology Platforms	2020	@
2020.iwpt.1	Proceedings of the 16th International Conference on Parsing Technologies and the IWPT 2020 Shared Task on Parsing into Enhanced Universal Dependencies	2020	@
2020.iwslt.1	Proceedings of the 17th International Conference on Spoken Language Translation	2020	@
2020.jeptalnrecital.deft	Actes de la 6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). Atelier DÉfi Fouille de Textes	2020	Nancy, France
2020.jeptalnrecital.demos	Actes de la 6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). Volume 4 : Démonstrations et résumés d'articles internationaux	2020	Nancy, France
2020.jeptalnrecital.eternal	Actes de la 6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). 2e atelier Éthique et TRaitemeNt Automatique des Langues (ETeRNAL)	2020	Nancy, France
2020.jeptalnrecital.jep	Actes de la 6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). Volume 1 : Journées d'Études sur la Parole	2020	Nancy, France
2020.jeptalnrecital.recital	Actes de la 6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). Volume 3 : Rencontre des Étudiants Chercheurs en Informatique pour le TAL	2020	Nancy, France
2020.jeptalnrecital.taln	Actes de la 6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). Volume 2 : Traitement Automatique des Langues Naturelles	2020	Nancy, France
2020.knlp.1	Proceedings of Knowledgeable NLP: the First Workshop on Integrating Structured Knowledge and Neural Networks for NLP	2020	@
2020.lantern.1	Proceedings of the Second Workshop on Beyond Vision and LANguage: inTEgrating Real-world kNowledge (LANTERN)	2020	@
2020.latechclfl.1	Proceedings of the The 4th Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature	2020	@
2020.law.1	Proceedings of the 14th Linguistic Annotation Workshop	2020	@
2020.ldl.1	Proceedings of the 7th Workshop on Linked Data in Linguistics (LDL-2020)	2020	@
2020.lifelongnlp.1	Proceedings of the 2nd Workshop on Life-long Learning for Spoken Language Systems	2020	@
2020.lincr.1	Proceedings of the Second Workshop on Linguistic and Neurocognitive Resources	2020	@
2020.loresmt.1	Proceedings of the 3rd Workshop on Technologies for MT of Low Resource Languages	2020	@
2020.louhi.1	Proceedings of the 11th International Workshop on Health Text Mining and Information Analysis	2020	@
2020.lr4sshoc.1	Proceedings of the Workshop about Language Resources for the SSH Cloud	2020	@
2020.lrec.1	Proceedings of the 12th Language Resources and Evaluation Conference	2020	@
2020.lt4gov.1	Proceedings of the 1st Workshop on Language Technologies for Government and Public Administration (LT4Gov)	2020	@
2020.lt4hala.1	Proceedings of LT4HALA 2020 - 1st Workshop on Language Technologies for Historical and Ancient Languages	2020	@
2020.mmw.1	Proceedings of the LREC 2020 Workshop on Multimodal Wordnets (MMW2020)	2020	@
2020.msr.1	Proceedings of the Third Workshop on Multilingual Surface Realisation	2020	@
2020.multilingualbio.1	Proceedings of the LREC 2020 Workshop on Multilingual Biomedical Text Processing (MultilingualBIO 2020)	2020	@
2020.mwe.1	Proceedings of the Joint Workshop on Multiword Expressions and Electronic Lexicons	2020	@
2020.ngt.1	Proceedings of the Fourth Workshop on Neural Generation and Translation	2020	@
2020.nl4xai.1	2nd Workshop on Interactive Natural Language Technology for Explainable Artificial Intelligence	2020	Dublin, Ireland
2020.nli.1	Proceedings of the First Workshop on Natural Language Interfaces	2020	@
2020.nlp4call.1	Proceedings of the 9th Workshop on NLP for Computer Assisted Language Learning	2020	Gothenburg, Sweden
2020.nlp4convai.1	Proceedings of the 2nd Workshop on Natural Language Processing for Conversational AI	2020	@
2020.nlp4if.1	Proceedings of the 3rd NLP4IF Workshop on NLP for Internet Freedom: Censorship, Disinformation, and Propaganda	2020	@
2020.nlp4musa.1	Proceedings of the 1st Workshop on NLP for Music and Audio (NLP4MusA)	2020	@
2020.nlpbt.1	Proceedings of the First International Workshop on Natural Language Processing Beyond Text	2020	@
2020.nlpcovid19.2	Proceedings of the 1st Workshop on NLP for COVID-19 (Part 2) at EMNLP 2020	2020	@
2020.nlpcovid19.acl	Proceedings of the 1st Workshop on NLP for COVID-19 at ACL 2020	2020	@
2020.nlpcss.1	Proceedings of the Fourth Workshop on Natural Language Processing and Computational Social Science	2020	@
2020.nlpmc.1	Proceedings of the First Workshop on Natural Language Processing for Medical Conversations	2020	@
2020.nlposs.1	Proceedings of Second Workshop for NLP Open Source Software (NLP-OSS)	2020	@
2020.nlptea.1	Proceedings of the 6th Workshop on Natural Language Processing Techniques for Educational Applications	2020	@
2020.nuse.1	Proceedings of the First Joint Workshop on Narrative Understanding, Storylines, and Events	2020	@
2020.onion.1	Proceedings of LREC2020 Workshop "People in language, vision and the mind" (ONION2020)	2020	@
2020.osact.1	Proceedings of the 4th Workshop on Open-Source Arabic Corpora and Processing Tools, with a Shared Task on Offensive Language Detection	2020	@
2020.pam.1	Proceedings of the Probability and Meaning Conference (PaM 2020)	2020	@
2020.parlaclarin.1	Proceedings of the Second ParlaCLARIN Workshop	2020	@
2020.peoples.1	Proceedings of the Third Workshop on Computational Modeling of People's Opinions, Personality, and Emotion's in Social Media	2020	@
2020.privatenlp.1	Proceedings of the Second Workshop on Privacy in NLP	2020	@
2020.rail.1	Proceedings of the first workshop on Resources for African Indigenous Languages	2020	@
2020.rdsm.1	Proceedings of the 3rd International Workshop on Rumours and Deception in Social Media (RDSM)	2020	@
2020.readi.1	Proceedings of the 1st Workshop on Tools and Resources to Empower People with REAding DIfficulties (READI)	2020	@
2020.repl4nlp.1	Proceedings of the 5th Workshop on Representation Learning for NLP	2020	@
2020.restup.1	Proceedings of the Workshop on Resources and Techniques for User and Author Profiling in Abusive Language	2020	@
2020.scai.1	Proceedings of the 5th International Workshop on Search-Oriented Conversational AI (SCAI)	2020	@
2020.scil.1	Proceedings of the Society for Computation in Linguistics 2020	2020	New York, New York
2020.sdp.1	Proceedings of the First Workshop on Scholarly Document Processing	2020	@
2020.semeval.1	Proceedings of the Fourteenth Workshop on Semantic Evaluation	2020	@
2020.sigdial.1	Proceedings of the 21th Annual Meeting of the Special Interest Group on Discourse and Dialogue	2020	@
2020.sigmorphon.1	Proceedings of the 17th SIGMORPHON Workshop on Computational Research in Phonetics, Phonology, and Morphology	2020	@
2020.signlang.1	Proceedings of the LREC2020 9th Workshop on the Representation and Processing of Sign Languages: Sign Language Resources in the Service of the Language Community, Technological Challenges and Application Perspectives	2020	@
2020.sigtyp.1	Proceedings of the Second Workshop on Computational Research in Linguistic Typology	2020	@
